nom_c	nom_l	nom_s	color	vol_vox	vol_mm3	xv	yv	zv	xmm	ymm	zmm
G_Frontal_Sup-1-L	G_Frontal_Sup-1-L	F1_1_L	1	1012	1012	107	192	86	-15.9466403162055	65.0237154150198	13.0681818181818
G_Frontal_Sup-1-R	G_Frontal_Sup-1-R	F1_1_R	2	129	129	78	195	83	12.5581395348837	67.8062015503876	10.2713178294574
G_Frontal_Sup-2-L	G_Frontal_Sup-2-L	F1_2_L	3	8541	8541	103	174	114	-11.9065683175272	47.0211918979042	41.2490340709519
G_Frontal_Sup-2-R	G_Frontal_Sup-2-R	F1_2_R	4	8773	8773	79	173	115	11.9713894904822	45.7880998518181	41.5981990197196
G_Frontal_Sup-3-L	G_Frontal_Sup-3-L	F1_3_L	5	328	328	111	143	136	-19.8140243902439	16.405487804878	62.7073170731707
G_Frontal_Sup-3-R	G_Frontal_Sup-3-R	F1_3_R	6	591	591	72	144	134	19.1945854483926	17.4348561759729	60.8020304568528
S_Sup_Frontal-1-L	S_Sup_Frontal-1-L	f1_1_L	7	2016	2016	113	188	64	-22.2316468253968	61.0426587301587	-8.8938492063492
S_Sup_Frontal-1-R	S_Sup_Frontal-1-R	f1_1_R	8	5106	5106	71	190	67	20.4361535448492	62.7342342342342	-6.06032119075597
S_Sup_Frontal-2-L	S_Sup_Frontal-2-L	f1_2_L	9	6372	6372	118	183	74	-26.9755178907721	55.8179535467671	1.06842435655994
S_Sup_Frontal-2-R	S_Sup_Frontal-2-R	f1_2_R	10	4807	4807	63	184	80	27.8641564385271	56.7709590180986	6.73226544622426
S_Sup_Frontal-3-L	S_Sup_Frontal-3-L	f1_3_L	11	4895	4895	116	171	102	-25.2161389172625	43.644126659857	29.3485188968335
S_Sup_Frontal-3-R	S_Sup_Frontal-3-R	f1_3_R	12	5285	5285	66	172	103	24.5540208136235	45.1640491958373	29.5241248817408
S_Sup_Frontal-4-L	S_Sup_Frontal-4-L	f1_4_L	13	7283	7283	114	157	121	-22.6892763970891	29.5168199917617	47.8298777976109
S_Sup_Frontal-4-R	S_Sup_Frontal-4-R	f1_4_R	14	3061	3061	71	163	122	19.7412610258086	35.8039856256125	48.6354132636393
S_Sup_Frontal-5-L	S_Sup_Frontal-5-L	f1_5_L	15	4403	4403	118	138	129	-27.0663184192596	11.1033386327504	56.4887576652283
S_Sup_Frontal-5-R	S_Sup_Frontal-5-R	f1_5_R	16	8247	8247	64	144	126	27.0705711167697	17.047411179823	53.0112768279374
S_Sup_Frontal-6-L	S_Sup_Frontal-6-L	f1_6_L	17	4447	4447	115	127	132	-23.5201259275916	0.446818079604228	58.9545761187317
S_Sup_Frontal-6-R	S_Sup_Frontal-6-R	f1_6_R	18	4099	4099	68	129	133	23.3064161990729	2.11100268358135	59.9375457428641
G_Frontal_Mid-1-L	G_Frontal_Mid-1-L	F2_1_L	19	2098	2098	131	168	93	-39.8875119161106	41.289323164919	19.9799809342231
G_Frontal_Mid-1-R	G_Frontal_Mid-1-R	F2_1_R	20	3996	3996	50	172	86	41.2347347347347	44.5425425425425	13.471971971972
G_Frontal_Mid-2-L	G_Frontal_Mid-2-L	F2_2_L	21	6656	6656	124	172	99	-32.7588641826923	44.630859375	25.8823617788462
